timestamp,price,market_cap,volume_24h,circulating_supply,price_change_24h,bullish_sentiment,bearish_sentiment
2025-10-27 11:44:03,"$115,310.66",$2.29T,$58.68B,19.94M BTC,2.63% (24h),82%,18%
2025-10-29 05:41:17,"$112,875.31",$2.25T,$65.17B,19.94M BTC,1.29% (24h),82%,18%
2025-10-29 05:50:45,"$112,958.41",$2.25T,$66.39B,19.94M BTC,1.29% (24h),82%,18%
2025-10-29 05:58:17,"$113,036.10",$2.25T,$66.5B,19.94M BTC,1.29% (24h),82%,18%
2025-10-29 06:21:06,"$113,078.45",$2.25T,$66.79B,19.94M BTC,1.22% (24h),82%,18%
2025-10-29 06:43:23,"$113,113.12",$2.25T,$66.76B,19.94M BTC,1.15% (24h),82%,18%
2025-10-29 06:55:56,"$112,912.01",$2.25T,$65.87B,19.94M BTC,1.44% (24h),82%,18%
2025-10-29 07:14:49,"$113,067.03",$2.25T,$66.63B,19.94M BTC,1.26% (24h),82%,18%
2025-10-29 07:31:28,"$113,199.74",$2.25T,$66.76B,19.94M BTC,1.16% (24h),82%,18%
2025-10-29 07:42:48,"$113,127.53",$2.25T,$65.79B,19.94M BTC,1.18% (24h),82%,18%
2025-10-29 07:55:08,"$113,133.18",$2.25T,$66.42B,19.94M BTC,1.03% (24h),82%,18%
2025-10-29 08:31:55,"$113,100.86",$2.25T,$65.61B,19.94M BTC,0.99% (24h),82%,18%
2025-10-29 09:20:38,"$113,490.30",$2.26T,$63.88B,19.94M BTC,1.22% (24h),82%,18%
2025-10-29 09:48:19,"$112,842.96",$2.25T,$63.07B,19.94M BTC,2.18% (24h),82%,18%
2025-10-29 09:59:12,"$112,925.82",$2.25T,$63.3B,19.94M BTC,2.17% (24h),82%,18%
2025-10-29 10:23:16,"$112,522.49",$2.24T,$62.99B,19.94M BTC,2.92% (24h),82%,18%
2025-10-29 10:45:59,"$112,677.85",$2.24T,$61.71B,19.94M BTC,1.78% (24h),82%,18%
2025-10-29 10:57:44,"$112,469.95",$2.24T,$60.99B,19.94M BTC,2.37% (24h),82%,18%
2025-10-29 11:19:31,"$112,486.87",$2.24T,$60.91B,19.94M BTC,2.32% (24h),82%,18%
2025-10-29 11:41:51,"$111,924.16",$2.23T,$61.01B,19.94M BTC,2.48% (24h),82%,18%
2025-10-29 11:55:41,"$111,582.92",$2.22T,$61.73B,19.94M BTC,2.73% (24h),82%,18%
2025-10-29 12:22:03,"$111,306.63",$2.21T,$62.37B,19.94M BTC,3% (24h),82%,18%
2025-10-29 12:48:51,"$111,167.84",$2.21T,$63.31B,19.94M BTC,3.43% (24h),82%,18%
2025-10-29 13:02:33,"$111,193.89",$2.21T,$63.17B,19.94M BTC,3.65% (24h),82%,18%
2025-10-29 13:26:03,"$111,131.56",$2.21T,$61.83B,19.94M BTC,3.79% (24h),82%,18%
2025-10-29 13:43:41,"$111,695.94",$2.22T,$61.94B,19.94M BTC,3.31% (24h),82%,18%
2025-10-29 13:56:09,"$111,776.87",$2.22T,$61.94B,19.94M BTC,3.1% (24h),82%,18%
2025-10-29 14:24:43,"$111,368.05",$2.22T,$63.21B,19.94M BTC,3.29% (24h),82%,18%
2025-10-29 14:52:13,"$110,817.37",$2.2T,$66.59B,19.94M BTC,3.53% (24h),82%,18%
2025-10-29 15:01:19,"$111,011.45",$2.21T,$67.7B,19.94M BTC,3.47% (24h),82%,18%
2025-10-29 15:20:01,"$111,035.83",$2.21T,$69.33B,19.94M BTC,2.83% (24h),82%,18%
2025-10-29 15:31:26,"$110,959.01",$2.21T,$68.64B,19.94M BTC,2.38% (24h),82%,18%
2025-10-29 15:40:59,"$110,335.04",$2.2T,$68.24B,19.94M BTC,3.24% (24h),82%,18%
2025-10-29 15:50:26,"$110,768.24",$2.2T,$68.17B,19.94M BTC,2.67% (24h),82%,18%
2025-10-29 15:58:27,"$110,716.08",$2.2T,$68.02B,19.94M BTC,2.56% (24h),82%,18%
2025-10-29 16:20:22,"$110,868.29",$2.21T,$67.61B,19.94M BTC,1.48% (24h),82%,18%
2025-10-29 16:38:50,"$111,231.56",$2.21T,$65.89B,19.94M BTC,1.16% (24h),82%,18%
2025-10-29 16:50:38,"$111,334.64",$2.22T,$65.19B,19.94M BTC,1.29% (24h),82%,18%
2025-10-29 16:58:35,"$111,435.53",$2.22T,$64.41B,19.94M BTC,1.23% (24h),82%,18%
2025-10-29 17:18:32,"$111,500.38",$2.22T,$65.1B,19.94M BTC,1.07% (24h),82%,18%
2025-10-29 17:32:09,"$111,678.74",$2.22T,$64.6B,19.94M BTC,0.91% (24h),82%,18%
2025-10-29 17:45:55,"$111,616.24",$2.22T,$64.1B,19.94M BTC,1.33% (24h),82%,18%
2025-10-29 17:56:14,"$111,584.95",$2.22T,$63.99B,19.94M BTC,1.35% (24h),82%,18%
2025-10-29 18:15:45,"$111,460.97",$2.22T,$63.79B,19.94M BTC,1.29% (24h),82%,18%
2025-10-29 18:37:11,"$111,165.89",$2.21T,$62.36B,19.94M BTC,1.77% (24h),82%,18%
2025-10-29 18:47:34,"$111,175.46",$2.21T,$62.91B,19.94M BTC,1.8% (24h),82%,18%
2025-10-29 18:56:30,"$111,195.91",$2.21T,$62.05B,19.94M BTC,1.8% (24h),82%,18%
2025-10-29 19:15:27,"$110,609.69",$2.2T,$61.91B,19.94M BTC,2.15% (24h),82%,18%
2025-10-29 19:32:10,"$110,393.55",$2.2T,$61.76B,19.94M BTC,2.23% (24h),82%,18%
2025-10-29 19:46:09,"$110,055.56",$2.19T,$61.99B,19.94M BTC,2.62% (24h),82%,18%
2025-10-29 19:54:55,"$110,027.73",$2.19T,$61.59B,19.94M BTC,2.64% (24h),82%,18%
2025-10-29 21:10:50,"$110,571.58",$2.2T,$62.06B,19.94M BTC,1.57% (24h),82%,18%
2025-10-29 22:50:16,"$110,843.74",$2.21T,$58.84B,19.94M BTC,1.6% (24h),82%,18%
2025-10-29 23:37:09,"$110,762.12",$2.2T,$61.36B,19.94M BTC,1.61% (24h),82%,18%
2025-10-29 23:58:50,"$110,658.78",$2.2T,$61.62B,19.94M BTC,1.67% (24h),82%,18%
2025-10-30 00:22:43,"$110,009.61",$2.19T,$61.74B,19.94M BTC,2.42% (24h),82%,18%
2025-10-30 00:43:19,"$109,070.74",$2.17T,$65.11B,19.94M BTC,3.26% (24h),82%,18%
2025-10-30 00:55:21,"$109,069.22",$2.17T,$66.18B,19.94M BTC,3.31% (24h),82%,18%
2025-10-30 01:15:40,"$108,944.35",$2.17T,$66.86B,19.94M BTC,3.5% (24h),82%,18%
